cdr_cluster_id,LMNA+,Memory,Naive(i),Naive(ii),Naive(iii),NR4A+,Plasma(i),Plasma(ii),No5'
1668,0,0,0,0,0,1,17,45,155
1226,0,0,0,0,0,0,37,2,15
629,0,0,0,0,0,0,0,0,41
1225,0,0,0,0,0,0,1,0,5
1252,0,0,0,0,0,0,1,0,5
2474,0,0,0,0,0,0,6,0,0
1447,0,0,0,0,0,0,5,0,0
1003,0,0,0,0,0,0,3,1,0
1436,0,0,0,0,0,0,3,0,0
3631,0,0,0,0,0,0,3,1,0
91,0,0,0,0,0,3,0,0,0
655,0,0,0,0,0,0,2,1,0
1262,0,0,0,0,0,0,2,1,0
1287,0,0,0,0,0,0,1,0,2
1680,0,0,0,0,0,0,3,0,0
151,0,0,0,0,0,2,0,0,0
226,0,0,0,0,0,0,1,0,0
332,0,0,0,0,0,0,1,1,0
333,0,0,0,0,0,0,2,0,0
355,0,0,0,0,0,0,0,2,0
359,0,0,0,0,0,0,1,0,0
486,0,0,0,0,0,0,0,0,2
513,0,0,0,0,0,0,2,0,0
560,0,0,0,2,0,0,0,0,0
654,0,0,0,0,0,0,2,0,0
660,0,0,0,0,0,0,1,1,0
932,0,0,0,0,0,0,1,0,1
1001,0,0,0,0,0,0,1,1,0
1015,0,0,0,0,0,2,0,0,0
1020,0,0,0,0,0,0,1,1,0
1030,0,0,0,2,0,0,0,0,0
1035,0,0,0,0,0,0,1,0,1
1055,0,0,0,0,0,0,0,2,0
1063,0,0,0,0,0,0,2,0,0
1065,0,0,0,0,0,0,2,0,0
1263,0,0,0,0,0,0,1,1,0
1323,0,0,0,0,0,0,1,0,1
1439,0,0,0,0,0,0,0,0,2
1444,0,0,0,0,0,0,1,1,0
1449,0,0,0,0,0,2,0,0,0
1470,0,0,0,0,0,2,0,0,0
1654,0,0,0,0,0,0,2,0,0
1713,0,0,0,0,0,0,2,0,0
1717,0,0,0,0,0,0,2,0,0
1934,0,0,0,0,0,0,2,0,0
2472,0,0,0,0,0,0,2,0,0
2585,0,0,0,0,0,0,1,0,1
3588,0,0,0,0,0,0,1,1,0
